CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,Mark,IDNUM,SEX,TETRIS-FLOW,FLOWGAME-FLOW,COPTER-FLOW,TETRIS-FLOW2,FLOWGAME-FLOW2,COPTER-FLOW2,TETRIS-EXPERTISE,FLOW-EXPERTISE,COPTER-EXPERTISE,TETRIS-OVERESTIMATION,FLOW-OVERESTIMATION,COPTER-OVERESTIMATION,IN-FLOW,IN-FLOW2,EXPERTISE,OVERESTIMATION
0.00197348,0.00701043,0.00184512,-0.00113975,0.00183567,0.00032574,0.00000000,0.00000000,-0.00122935,0.00191475,0.00072444,0.01738037,0.00728811,0.00286043,-0.00138478,0.00182240,-0.00362668,0.00391238,-0.00301811,0.00056553,0.00121586,0.00231845,0.01008268,-0.00091809,0.00274227,0.00000770,0.00215407,0.00594325,-0.00168800,-0.00120446,-0.00346849,0.00593314,0.00957999,0.00419270,0.00274887,0.00546223,0.00139440,0.00030368,0.00156764,0.00097768,-0.00141887,-0.00086262,0.00676813,0.00781260,0.00340216,0.00451252,0.00029935,0.00166603,0.00453625,-0.00463128,-0.00090427,0.00116508,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
0.00342316,0.01381187,0.00370175,-0.00226662,0.00371180,0.00084302,0.00000000,0.00000000,-0.00248309,0.00268141,0.00096282,0.03377543,0.01433340,0.00555560,-0.00289665,0.00324080,-0.00758132,0.00736209,-0.00599267,0.00062496,0.00098142,0.00399811,0.01976449,-0.00211198,0.00520532,-0.00041909,0.00351430,0.01097072,-0.00396439,-0.00295868,-0.00795971,0.01097732,0.01851969,0.00778980,0.00413595,0.01038366,0.00228860,-0.00068475,0.00162353,0.00103772,-0.00349647,-0.00296773,0.01228828,0.01467366,0.00538673,0.00722504,0.00002346,0.00281367,0.00685115,-0.01073829,-0.00274082,0.00073202,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
0.00435583,0.01993017,0.00593206,-0.00356114,0.00535105,0.00106162,0.00000000,0.00000000,-0.00613916,0.00290976,0.00198987,0.04981531,0.02059039,0.00764486,-0.00473252,0.00569153,-0.01076199,0.01126032,-0.00838725,0.00081430,0.00186428,0.00602769,0.02908551,-0.00361914,0.00767213,-0.00075375,0.00544461,0.01641013,-0.00590526,-0.00480593,-0.01184267,0.01628252,0.02796428,0.01186484,0.00703360,0.01561106,0.00356005,-0.00134073,0.00188008,0.00110426,-0.00540753,-0.00459171,0.01778466,0.02173934,0.00804714,0.01112748,0.00041425,0.00560535,0.01006693,-0.01648331,-0.00476672,0.00088604,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
0.00364120,0.02524462,0.00902375,-0.00494332,0.00658749,0.00048644,0.00000000,0.00000000,-0.01218317,0.00137470,0.00257118,0.06473006,0.02565175,0.00949483,-0.00694964,0.00837433,-0.01445022,0.01483613,-0.01071982,0.00021743,0.00157318,0.00730230,0.03693872,-0.00477680,0.00976004,-0.00203913,0.00669924,0.02079693,-0.00853638,-0.00714185,-0.01690923,0.02057046,0.03676608,0.01593454,0.00934915,0.02048693,0.00400990,-0.00363274,0.00019590,0.00022403,-0.00812481,-0.00761730,0.02169867,0.02752266,0.00924942,0.01346090,0.00030745,0.00894338,0.01096243,-0.02391652,-0.00811820,-0.00085041,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
0.00180989,0.02967527,0.01305692,-0.00650186,0.00749758,-0.00084624,0.00000000,0.00000000,-0.02043349,-0.00075786,0.00361709,0.07901924,0.02933238,0.01068648,-0.00968060,0.01196546,-0.01781763,0.01864999,-0.01250177,-0.00065624,0.00256042,0.00870656,0.04373862,-0.00520569,0.01184539,-0.00389165,0.00839841,0.02538770,-0.01097819,-0.00955853,-0.02163476,0.02527160,0.04549360,0.02071785,0.01358437,0.02589855,0.00407074,-0.00580516,-0.00177837,-0.00065234,-0.01072801,-0.00990009,0.02534824,0.03301634,0.01105045,0.01706646,0.00022067,0.01395296,0.01234781,-0.03108011,-0.01167266,-0.00217734,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
-0.00382568,0.03236054,0.01875526,-0.00849891,0.00720180,-0.00508582,0.00000000,0.00000000,-0.03257040,-0.00627780,0.00417426,0.09194744,0.02891316,0.00883701,-0.01332469,0.01686049,-0.02075602,0.02300969,-0.01463870,-0.00231046,0.00265069,0.00913922,0.04771418,-0.00502509,0.01393892,-0.00754246,0.00957965,0.02905278,-0.01363626,-0.01316839,-0.02720912,0.02907678,0.05263908,0.02623594,0.01955167,0.03074988,0.00191198,-0.01016785,-0.00705373,-0.00209202,-0.01374745,-0.01342853,0.02749816,0.03659856,0.01134483,0.02009234,-0.00013223,0.02035147,0.01151329,-0.03945534,-0.01670701,-0.00552231,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
-0.01086689,0.03400984,0.02559332,-0.01088648,0.00655547,-0.01091960,0.00000000,0.00000000,-0.04720122,-0.01236390,0.00512239,0.10448105,0.02599166,0.00545746,-0.01780877,0.02254088,-0.02269347,0.02776878,-0.01671613,-0.00424375,0.00424231,0.00975508,0.05048561,-0.00460714,0.01611073,-0.01186805,0.01161342,0.03308849,-0.01592392,-0.01675565,-0.03175925,0.03298256,0.05992597,0.03253513,0.02791130,0.03597430,-0.00121801,-0.01427550,-0.01289207,-0.00310250,-0.01627855,-0.01594807,0.02986022,0.03980137,0.01260334,0.02495798,-0.00016595,0.02812430,0.01156880,-0.04729656,-0.02173763,-0.00802377,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
-0.01967647,0.03496844,0.03322477,-0.01369866,0.00542615,-0.01815021,0.00000000,0.00000000,-0.06326646,-0.02041633,0.00567524,0.11645354,0.02055991,0.00080193,-0.02304965,0.02860525,-0.02485374,0.03243189,-0.01860017,-0.00655123,0.00483178,0.00987264,0.05172058,-0.00405827,0.01818244,-0.01737139,0.01315725,0.03617744,-0.01845051,-0.02079442,-0.03671822,0.03644836,0.06630832,0.03885839,0.03660922,0.04099343,-0.00595907,-0.01988328,-0.02074157,-0.00429020,-0.01890822,-0.01942497,0.03138552,0.04188645,0.01285685,0.02913951,-0.00065694,0.03595495,0.01000231,-0.05590357,-0.02737457,-0.01171624,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
-0.03003922,0.03518524,0.04154934,-0.01693347,0.00383553,-0.02667177,0.00000000,0.00000000,-0.08093549,-0.02855854,0.00670778,0.12795857,0.01298910,-0.00495982,-0.02883292,0.03535530,-0.02627493,0.03780245,-0.02003816,-0.00874244,0.00681640,0.01026243,0.05182080,-0.00410792,0.02032532,-0.02321816,0.01547248,0.03965415,-0.02021697,-0.02478179,-0.04048674,0.04029981,0.07275782,0.04608521,0.04734289,0.04658347,-0.01142135,-0.02514683,-0.02896236,-0.00464849,-0.02047080,-0.02159863,0.03335825,0.04420293,0.01415936,0.03536356,-0.00076697,0.04465835,0.00959120,-0.06348352,-0.03239452,-0.01428434,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
-0.04230034,0.03487328,0.05070763,-0.02031812,0.00199456,-0.03657953,0.00000000,0.00000000,-0.10026067,-0.03843841,0.00753197,0.13856606,0.00269475,-0.01179273,-0.03498157,0.04265926,-0.02757219,0.04366917,-0.02110117,-0.01125970,0.00785083,0.01024628,0.05053471,-0.00581011,0.02247348,-0.02972530,0.01737851,0.04261968,-0.02201466,-0.02912032,-0.04421137,0.04381883,0.07851327,0.05360754,0.05845969,0.05208290,-0.01841247,-0.03172307,-0.03891007,-0.00504003,-0.02183045,-0.02430512,0.03483698,0.04588629,0.01458980,0.04128016,-0.00110939,0.05356396,0.00809464,-0.07148453,-0.03782726,-0.01799816,REST,11,FEMALE,MED-FLOW,NO-FLOW,HIGH-FLOW,NO-FLOW2,NO-FLOW2,HIGH-FLOW2,EXPERT,NOVICE,EXPERT,MED,MED,MED,BLANK,BLANK,BLANK,BLANK
